book_id,country_of_first_publication,simultaneous_us_publication,is_anonymous_pseudonymous_or_corporate,had_copyright_notice_at_publication,renewal_filed,creation_year,source,notes
vein-of-iron__glasgow-ellen__1935,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R306538, renewed 1962, class E)"
of-time-and-the-river__wolfe-thomas__1935,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R300851, renewed 1962, class Adm. c.t.a. of the Estate of Thomas Wolfe)"
time-out-of-mind__field-rachel__1935,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R300506, renewed 1962, class Wr)"
the-forty-days-of-musa-dagh__werfel-franz__1935,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R291302, renewed 1962, class PWH)"
gone-with-the-wind__mitchell-margaret__1936,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R318690, renewed 1963, class NK)"
the-last-puritan__santayana-george__1936,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R315561, renewed 1963, class E)"
sparkenbroke__morgan-charles-langbridge__1936,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R323942, renewed 1963, class W)"
drums-along-the-mohawk__edmonds-walter-d__1936,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R330531, renewed 1964, class A)"
it-can-t-happen-here__lewis-sinclair__1936,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R303502, renewed 1962, class C)"
white-banners__douglas-lloyd-c__1936,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R334689, renewed 1964, class C)"
northwest-passage__roberts-kenneth__1937,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R340334, renewed 1964, class E)"
the-citadel__cronin-a-j__1937,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R344873, renewed 1964, class A)"
and-sovictoria__wilkins-vaughan__1937,,,,,false,,stanford-copyright-renewal-db,no renewal found in Stanford CRD (author renews other works there)
the-years__woolf-virginia__1937,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id R352700, renewed 1965, class Wr)"
